Grouping,Jan 2019,Feb 2019,Mar 2019,Apr 2019,May 2019,Jun 2019,Jul 2019,Aug 2019,Sep 2019,Oct 2019,Nov 2019,Dec 2019,Jan 2020,Feb 2020,Mar 2020,Apr 2020,May 2020,Jun 2020,Jul 2020,Aug 2020,Sep 2020,Oct 2020,Nov 2020,Dec 2020,Jan 2021,Feb 2021,Mar 2021,Apr 2021,May 2021,Jun 2021,Jul 2021,Aug 2021,Sep 2021,Oct 2021,Nov 2021,Dec 2021,Jan 2022,Feb 2022,Mar 2022,Apr 2022,May 2022,Jun 2022,Jul 2022,Aug 2022,Sep 2022
1v1.LOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Best Fiends,,,,,,,,,,,,,,,,,,,,0.4,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.2,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0.0,-0.1,-0.1,-0.1,-0.1,-0.7
Best Fiends Stars,,,,,,,,,,,,,,,,,,,,,121.4,32.3,5.5,0.7,0.2,-0.3,-0.4,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.6,-0.6,-0.6,-0.5,-0.5,-0.4,-0.4,-0.4,-0.8
Bingo Blitz,,,,,,,,,,,,,0.3,0.4,0.4,0.6,0.9,1.0,0.8,0.8,0.7,0.8,0.4,0.7,0.7,0.1,0.3,0.2,0.1,0.0,0.1,0.0,0.0,-0.2,0.0,0.0,-0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,-0.6
Board Kings,,,,,,,,,,,,,-0.2,-0.1,-0.2,0.1,0.1,0.1,0.1,0.2,-0.1,0.0,0.2,0.1,0.5,0.3,0.7,0.3,0.0,-0.1,0.1,-0.3,-0.1,0.0,-0.3,-0.1,-0.3,-0.2,-0.2,-0.3,-0.3,-0.2,-0.4,0.0,-0.7
Caesars Slots,,,,,,,,,,,,,-0.1,0.0,0.1,0.4,0.4,0.3,0.3,0.3,0.2,0.3,0.3,0.2,0.3,0.1,0.0,0.0,-0.2,-0.1,-0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.0,-0.1,-0.1,0.0,-0.6
House of Fun,,,,,,,,,,,,,-0.1,0.0,-0.2,0.0,0.1,0.0,0.1,0.2,0.0,0.0,0.1,0.1,0.1,0.1,0.2,0.0,-0.2,-0.1,0.0,-0.2,-0.1,-0.2,-0.3,-0.2,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.2,-0.7
June's Journey,,,,,,,,,,,,,0.8,0.9,0.9,1.4,1.5,1.5,1.4,1.5,1.2,1.1,0.9,0.7,0.9,0.7,0.5,0.2,0.2,0.0,0.0,0.1,0.4,0.6,0.2,0.6,0.5,0.1,0.4,0.5,0.2,0.5,0.5,0.2,-0.6
JustBuild.LOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JustFall.LOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pearl's Peril,,,,,,,,,,,,,-0.2,-0.1,-0.2,0.0,0.0,0.0,0.2,0.2,0.2,0.1,0.1,0.3,0.3,0.1,0.1,0.0,-0.2,-0.3,-0.2,-0.3,-0.2,-0.4,-0.3,-0.4,-0.4,-0.4,-0.4,-0.5,-0.4,-0.3,-0.4,-0.3,-0.8
Pirate Kings,,,,,,,,,,,,,0.1,0.2,0.2,0.3,0.1,-0.3,-0.2,-0.3,-0.3,-0.5,-0.5,-0.5,-0.3,-0.5,-0.5,-0.6,-0.5,-0.5,-0.5,-0.4,-0.3,-0.3,-0.2,-0.3,-0.4,-0.3,-0.3,-0.3,-0.3,-0.3,-0.1,-0.1,-0.7
Poker Heat,,,,,,,,,,,,,-0.3,-0.3,-0.3,0.0,0.1,0.1,0.2,0.1,0.2,0.3,0.1,0.2,0.2,0.0,-0.1,-0.1,-0.2,-0.2,-0.2,-0.1,-0.2,-0.3,-0.3,-0.3,-0.3,-0.2,-0.2,-0.3,-0.2,0.0,-0.1,-0.1,-0.6
Redecor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8
Slotomania,,,,,,,,,,,,,0.3,0.2,0.2,0.4,0.3,0.1,0.1,0.0,-0.1,-0.1,0.0,-0.1,-0.1,-0.2,-0.2,-0.3,-0.3,-0.2,-0.2,-0.2,-0.2,-0.2,-0.3,-0.3,-0.3,-0.2,-0.2,-0.2,-0.2,-0.3,-0.1,-0.2,-0.7
Solitaire Grand Harvest,,,,,,,,,,,,,,,,,,,,1.1,0.5,0.3,0.3,0.2,0.4,0.4,0.7,0.4,0.5,0.7,0.6,0.6,0.6,0.7,0.5,0.8,0.7,0.6,0.3,0.1,0.1,0.0,0.1,0.2,-0.5
Switchcraft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.4,22.9,50.1,56.1,12.2,8.5,8.6,8.6,7.0,5.1,4.3,1.0
Tropicats,,,,,,,,,,,,,0.0,0.0,-0.1,0.0,-0.1,-0.1,-0.2,-0.3,-0.4,-0.4,-0.4,-0.4,-0.4,-0.5,-0.5,-0.5,-0.5,-0.5,-0.4,-0.4,-0.5,-0.4,-0.5,-0.4,-0.4,-0.4,-0.4,-0.5,-0.5,-0.4,-0.4,-0.4,-0.7
Vegas Downtown Slots & Words,,,,,,,,,,,,,-0.5,-0.5,-0.5,-0.3,-0.4,-0.3,-0.4,-0.4,-0.4,-0.3,-0.4,-0.2,-0.3,-0.3,-0.1,-0.3,-0.2,-0.1,0.0,-0.2,-0.2,-0.2,-0.2,-0.3,-0.3,-0.2,-0.2,-0.3,-0.2,-0.5,-0.5,-0.2,-0.7
World Series of Poker,,,,,,,,,,,,,0.0,0.0,0.1,0.4,0.4,0.3,0.1,0.1,0.2,0.2,0.1,0.2,0.3,0.2,0.1,-0.1,-0.1,-0.1,0.0,0.0,0.0,-0.1,0.0,0.1,0.0,0.1,-0.1,-0.1,0.0,-0.1,0.0,0.0,-0.6
