Grouping,Jan 2019,Feb 2019,Mar 2019,Apr 2019,May 2019,Jun 2019,Jul 2019,Aug 2019,Sep 2019,Oct 2019,Nov 2019,Dec 2019,Jan 2020,Feb 2020,Mar 2020,Apr 2020,May 2020,Jun 2020,Jul 2020,Aug 2020,Sep 2020,Oct 2020,Nov 2020,Dec 2020,Jan 2021,Feb 2021,Mar 2021,Apr 2021,May 2021,Jun 2021,Jul 2021,Aug 2021,Sep 2021,Oct 2021,Nov 2021,Dec 2021,Jan 2022,Feb 2022,Mar 2022,Apr 2022,May 2022,Jun 2022,Jul 2022,Aug 2022,Sep 2022
1v1.LOL,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"28,562","105,883","101,689","82,085","76,163","69,726","24,745"
Best Fiends,0,0,0,0,0,0,0,"7,269,709","9,855,581","10,010,172","8,981,041","9,505,013","9,566,431","9,668,609","10,485,178","11,295,686","11,511,499","10,189,905","10,438,549","10,257,944","9,529,137","9,527,443","9,237,965","9,708,734","10,849,522","10,120,552","11,760,911","11,590,904","11,724,055","11,354,167","12,103,785","11,084,085","10,722,325","11,633,430","11,098,972","11,629,093","12,195,596","11,482,766","12,788,482","11,407,237","11,033,309","10,336,666","10,504,968","9,879,725","3,477,980"
Best Fiends Stars,,,,,,,,,"7,523","26,056","113,261","457,437","687,173","1,045,736","1,302,039","1,179,596","1,166,196","956,599","861,687","872,768","920,801","867,196","733,080","777,541","809,131","768,691","770,230","618,439","533,909","467,635","450,698","453,933","453,182","391,692","391,658","369,517","323,225","289,521","301,550","287,683","284,447","266,810","255,559","256,068","99,273"
Bingo Blitz,"14,538,217","14,914,010","16,082,617","15,950,546","15,767,244","14,568,081","17,397,117","17,176,984","16,045,157","16,257,541","18,107,685","16,173,642","19,099,009","21,592,049","22,576,165","25,696,291","30,171,797","28,692,115","31,154,496","30,326,360","26,827,344","29,989,891","24,984,627","26,897,006","32,575,699","24,149,200","30,235,342","31,333,444","31,804,268","30,046,925","33,291,475","29,980,380","27,932,178","25,433,330","25,961,201","25,743,309","28,293,405","26,653,509","31,158,179","30,003,060","30,631,889","29,468,764","33,270,749","32,366,467","12,223,491"
Board Kings,"5,369,201","4,466,727","5,633,357","5,337,840","5,633,177","5,040,052","5,230,211","4,941,636","5,373,550","4,707,378","4,598,021","4,307,400","4,259,820","4,238,141","4,430,963","5,838,805","6,351,789","5,358,960","5,718,735","5,836,267","5,008,053","4,732,152","5,321,863","4,887,142","6,479,635","5,621,676","7,727,499","7,339,877","6,378,726","4,789,284","6,018,197","4,281,728","4,377,141","4,838,541","3,710,622","4,553,109","4,750,914","4,601,577","6,522,491","5,451,106","4,322,253","4,029,788","3,872,803","4,117,100","1,467,652"
Caesars Slots,"8,026,760","7,652,886","8,523,833","7,625,144","7,918,426","7,780,794","7,990,667","7,512,399","7,062,596","7,017,898","6,661,720","7,511,144","7,425,797","7,792,408","9,494,164","10,579,864","11,280,304","10,008,436","10,107,093","9,950,640","8,719,974","9,208,464","8,449,641","9,071,444","9,892,663","8,265,931","9,532,866","10,081,961","9,162,141","9,091,876","9,192,165","9,552,156","9,441,978","8,890,853","8,879,293","9,846,310","11,003,143","8,924,847","9,235,163","9,636,313","8,915,210","8,540,570","8,588,999","9,239,322","3,330,909"
House of Fun,"18,819,488","14,938,478","18,727,500","17,706,788","19,275,073","17,422,701","16,964,506","16,093,638","15,969,401","16,352,224","15,648,991","14,727,551","16,733,453","14,678,385","15,605,069","18,361,925","20,812,850","17,529,142","18,164,394","18,891,357","16,063,481","17,166,597","16,640,157","16,356,839","18,987,977","16,619,442","18,585,087","17,872,469","17,223,706","16,398,507","17,764,358","15,997,445","15,042,083","14,200,697","12,323,779","13,490,922","13,569,289","12,299,779","12,244,352","11,999,369","12,536,019","11,118,188","11,689,391","12,053,783","4,266,484"
June's Journey,"4,868,312","4,843,563","5,958,203","5,590,260","6,000,435","5,845,357","6,323,381","6,104,574","6,291,659","6,851,312","7,546,951","8,237,265","8,757,498","9,276,669","11,197,386","13,679,907","15,109,432","14,765,146","15,230,983","15,210,233","14,139,941","14,709,032","14,478,748","14,363,481","16,335,291","15,573,832","17,159,504","16,514,207","17,564,577","14,743,471","15,690,376","16,855,325","20,116,002","23,813,523","18,047,074","22,681,417","24,920,081","16,698,306","23,794,977","25,325,210","20,953,400","22,231,318","22,994,394","20,104,438","8,148,697"
JustBuild.LOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
JustFall.LOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pearl's Peril,"940,491","915,935","1,101,229","1,037,355","1,053,749","1,004,401","888,292","846,312","827,541","909,170","883,679","862,139","795,026","783,489","901,035","1,011,478","1,090,167","1,018,677","1,079,287","1,052,507","965,172","1,021,762","1,014,280","1,124,366","1,051,529","897,349","967,984","1,026,324","875,696","757,004","841,400","736,564","754,699","648,390","662,836","671,998","638,486","549,669","551,739","496,366","525,222","503,554","517,123","486,861","183,529"
Pirate Kings,"1,963,249","1,864,455","1,931,004","1,811,090","2,024,238","2,276,446","1,944,169","1,899,828","1,770,696","1,751,693","1,828,054","2,131,890","2,088,023","2,165,727","2,285,028","2,431,414","2,285,773","1,660,079","1,588,278","1,282,830","1,160,868","924,069","854,221","1,106,911","1,393,610","1,053,415","1,172,593","1,078,022","1,055,882","894,535","793,076","707,343","766,727","676,659","703,534","814,599","887,127","787,721","851,658","772,426","731,413","655,869","696,181","650,348","252,069"
Poker Heat,"1,107,088","963,249","1,120,327","879,968","853,839","753,334","800,834","758,212","681,762","687,673","752,161","733,878","722,715","700,997","813,799","920,059","945,758","809,765","925,357","857,532","841,639","862,377","829,091","886,750","875,447","703,249","759,650","820,172","756,997","615,795","718,978","752,111","647,851","603,706","617,077","658,727","579,768","579,972","585,062","578,993","582,759","589,082","645,892","642,103","233,380"
Redecor,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,130,186","9,143,168","9,560,183","9,247,420","8,503,260","7,563,966","8,231,264","7,135,052","7,018,146","5,859,367","6,323,526","5,657,399","2,132,374"
Slotomania,"37,021,720","35,709,577","37,339,855","34,677,775","39,892,967","41,492,075","38,132,787","42,275,276","41,877,045","41,653,896","39,617,491","44,251,576","48,646,910","44,072,727","44,621,462","50,096,207","50,505,685","44,044,388","42,037,486","42,968,894","39,138,681","36,328,758","38,243,652","38,736,205","41,527,824","34,734,804","36,627,517","35,251,361","36,353,997","36,788,685","35,492,361","35,215,522","30,204,493","28,401,365","27,462,026","28,078,980","30,761,422","27,414,787","28,082,785","29,396,370","28,875,702","26,786,536","30,621,899","27,705,782","9,877,238"
Solitaire Grand Harvest,0,0,0,0,0,0,0,"6,521,655","8,722,253","9,553,482","9,721,379","9,937,315","10,523,798","10,088,719","11,552,630","14,134,819","14,496,677","12,163,712","14,199,623","13,525,586","12,978,733","12,782,453","12,392,651","12,341,436","14,230,162","13,631,824","19,077,924","20,426,442","21,164,429","20,395,791","22,319,482","21,247,761","20,198,590","21,552,761","19,104,302","21,607,276","23,930,417","21,804,006","24,051,120","23,187,432","22,354,973","21,309,613","24,858,894","24,787,294","9,933,467"
