Game,Aug 2015,Sep 2015,Oct 2015,Nov 2015,Dec 2015,Jan 2016,Feb 2016,Mar 2016,Apr 2016,May 2016,Jun 2016,Jul 2016,Aug 2016,Sep 2016,Oct 2016,Nov 2016,Dec 2016,Jan 2017,Feb 2017,Mar 2017,Apr 2017,May 2017,Jun 2017,Jul 2017,Aug 2017,Sep 2017,Oct 2017,Nov 2017,Dec 2017,Jan 2018,Feb 2018,Mar 2018,Apr 2018,May 2018,Jun 2018,Jul 2018,Aug 2018,Sep 2018,Oct 2018,Nov 2018,Dec 2018,Jan 2019,Feb 2019,Mar 2019,Apr 2019,May 2019,Jun 2019,Jul 2019,Aug 2019,Sep 2019,Oct 2019,Nov 2019,Dec 2019,Jan 2020,Feb 2020,Mar 2020,Apr 2020,May 2020,Jun 2020,Jul 2020,Aug 2020,Sep 2020,Oct 2020,Nov 2020,Dec 2020,Jan 2021,Feb 2021,Mar 2021,Apr 2021,May 2021,Jun 2021,Jul 2021,Aug 2021,Sep 2021,Oct 2021,Nov 2021,Dec 2021,Jan 2022,Feb 2022,Mar 2022,Apr 2022,May 2022,Jun 2022,Jul 2022,Aug 2022
1v1.LOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"21,559","19,368","16,730","16,139","15,421"
Best Fiends,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"27,731","25,451","24,337","23,640","25,018","25,368","24,575","24,945","23,081","22,409","21,390","21,850","20,697","20,062","18,501","17,591","19,672","20,674","21,933","22,453","24,570","24,285","23,979","20,598","19,406","19,548","18,764","17,731","16,773","16,440","16,242","15,684","15,026","14,653","14,774","14,274"
Best Fiends Stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,169,"3,414","3,252","4,135","5,469","5,138","5,083","4,752","5,362","5,481","5,627","4,783","4,545","3,877","3,274","3,531","3,205","2,469","2,196","1,853","1,631","1,413","1,162",984,869,751,643,602,530,483,476,447,384,334,305
Bingo Blitz,"6,059","5,948","5,963","6,098","6,643","8,253","6,753","6,685","6,573","6,635","6,654","6,742","6,497","6,047","6,029","6,365","6,359","6,926","7,098","7,315","6,858","6,392","6,946","6,734","6,004","5,647","5,246","5,429","5,593","5,352","4,763","4,824","4,491","4,203","4,236","4,740","4,366","4,328","4,244","4,216","4,442","4,907","5,386","5,180","5,168","5,138","4,834","5,025","4,909","5,280","5,167","5,183","5,032","5,222","5,118","5,443","5,795","5,462","5,417","5,244","5,351","5,073","6,062","5,319","5,557","5,862","5,469","6,085","5,696","6,253","5,298","5,304","5,175","5,073","5,242","5,006","4,833","5,870","6,325","5,820","5,973","6,013","5,794","5,815","5,763"
Board Kings,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,"1,918","3,049","3,693","4,351","5,719","7,551","8,962","11,052","12,502","12,831","14,397","17,355","19,736","21,889","24,725","24,285","22,947","22,971","22,375","22,219","23,622","25,162","23,662","23,277","22,003","21,349","20,728","19,751","19,915","18,371","17,675","15,407","14,952","14,209","13,554","13,365","13,768","13,390","15,763","17,233","16,017","15,411","16,000","17,184","14,385","11,779","10,664","10,015","9,487","9,041","8,470","7,749","7,751","7,418","7,278","7,089","6,440","5,779"
Caesars Slots,"9,657","9,603","9,201","9,286","9,331","9,910","9,604","9,501","9,240","9,182","9,233","9,035","8,921","9,063","9,262","8,869","8,742","8,620","8,694","8,772","8,791","9,072","9,380","9,470","9,265","9,504","9,532","9,307","8,991","9,154","9,104","9,045","8,351","8,186","7,885","8,163","8,036","8,205","7,832","7,686","8,142","8,703","8,003","8,085","8,931","7,534","7,396","7,572","7,593","7,806","7,963","7,890","6,951","7,087","7,250","7,459","8,394","7,625","6,947","6,611","6,583","6,672","7,279","7,135","6,917","8,566","8,506","7,311","7,192","6,744","6,443","6,469","6,133","6,035","5,256","5,293","5,252","5,473","5,119","5,131","5,170","4,818","4,470","4,328","4,342"
House of Fun,"13,184","12,343","11,794","12,146","12,028","13,398","12,907","12,587","12,948","12,777","12,206","12,016","11,590","11,283","10,907","10,726","11,120","11,489","11,167","10,819","11,027","10,899","10,755","11,365","11,135","11,454","10,939","10,510","10,541","11,424","11,034","10,067","10,099","9,444","9,234","9,419","9,582","9,620","9,142","9,554","10,131","11,318","10,565","10,693","9,821","8,747","8,464","8,821","8,368","8,382","8,705","8,246","8,465","8,422","7,903","7,538","7,130","7,074","6,777","6,465","6,150","6,031","6,152","6,959","7,106","7,530","7,592","7,063","6,266","6,022","5,558","5,105","4,966","5,251","5,071","4,993","4,649","4,582","4,502","4,430","4,016","2,814","2,576","2,344","2,120"
June's Journey,,,,,,,,,,,,,,,,,,,,81,170,257,243,327,344,311,"5,401","5,909","5,893","6,192","6,856","8,000","8,516","8,767","9,617","10,416","11,876","13,608","14,233","13,845","14,185","14,989","15,481","16,225","16,692","16,049","16,748","16,737","17,167","17,360","18,429","19,232","20,780","24,257","25,377","29,012","32,530","33,887","33,813","34,513","33,881","33,605","33,206","33,174","32,899","34,081","34,699","34,512","33,250","32,062","34,790","37,386","32,804","33,150","33,767","30,454","31,295","33,523","30,637","30,512","30,062","29,661","29,116","29,094","28,620"
JustBuild.LOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,12,8,6,3
JustFall.LOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,"1,989","2,244","2,633","4,760","4,759"
Pearl's Peril,"4,027","4,198","4,124","4,409","4,584","4,501","4,412","4,497","4,550","7,222","7,118","6,824","6,742","6,876","7,027","7,047","7,976","8,114","8,093","7,964","8,232","7,968","7,614","7,645","7,616","7,170","7,383","6,650","6,497","6,326","5,958","5,515","5,199","5,150","4,862","4,687","4,499","4,429","4,434","4,161","3,950","3,795","3,680","3,913","3,445","3,317","3,187","2,953","2,804","2,718","2,669","2,622","2,589","2,655","2,585","2,557","2,536","2,452","2,415","2,311","2,207","2,107","2,074","2,016","1,949","1,944","1,819","1,707","1,563","1,496","1,417","1,360","1,296","1,217","1,197","1,130","1,076","1,056","1,005",953,920,860,805,765,726
Pirate Kings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,122","1,051","1,219","1,367","1,522","1,955","2,294","2,585","2,645","2,837","3,269","3,935","4,781","4,718","5,769","5,988","6,225","5,721","5,094","4,857","4,457","4,239","4,219","4,142","3,789","3,405","3,608","3,759","4,088","3,695","2,757","2,289","2,022","1,786","1,621","1,420","1,246","1,162","1,161","1,062","1,061",902,"1,927","2,406","1,348",985,822,681,567,510,460,464,470,446,498,426,331,284
Poker Heat,356,331,319,340,338,479,563,563,498,462,413,374,339,327,284,262,292,576,763,"1,020","1,567","1,436","1,708","1,723","2,072","2,005","1,980","2,325","2,220","2,327","2,463","2,586","2,350","2,345","2,219","2,302","2,751","2,607","2,672","2,954","2,400","2,344","2,090","1,937","1,773","1,620","1,532","1,437","1,389","1,351","1,303","1,270","1,177","1,178","1,100","1,164","1,122",972,882,928,860,765,761,765,810,837,711,664,601,569,518,502,494,463,447,433,425,469,508,443,432,433,437,441,447
Redecor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14,054","14,827","15,232","14,940","16,903","15,767","14,867","16,523","16,587","15,497","15,350","12,541"
Slotomania,"16,735","16,578","16,049","17,030","17,817","18,347","18,164","17,327","17,462","17,945","16,827","16,679","16,222","15,791","15,978","15,889","15,527","16,184","15,855","16,490","16,537","16,181","16,279","16,178","16,600","16,327","15,989","15,651","15,647","17,004","16,328","16,073","16,525","16,561","16,060","16,023","15,607","15,578","14,785","15,083","15,464","15,434","14,462","13,833","13,183","12,782","12,356","12,083","11,930","12,363","11,504","11,759","11,950","11,492","10,792","12,040","12,352","11,484","10,997","10,852","10,580","9,666","11,238","10,469","9,593","9,531","10,081","9,548","9,034","8,508","8,517","9,022","8,139","8,606","8,742","8,385","7,941","8,309","8,116","7,663","7,529","7,445","6,783","6,675","6,286"
Solitaire Grand Harvest,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,461","8,750","9,276","9,426","9,796","9,687","10,412","10,723","10,563","10,468","10,640","10,879","10,291","10,362","10,249","10,199","10,352","10,511","11,677","12,103","12,340","11,541","11,278","10,717","11,434","11,593","11,160","12,014","12,923","12,922","15,158","15,518","16,548","16,690","14,963","13,384"
Switchcraft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,124,59,48,107,127,155,150,130,155,162,148,"1,563","1,701","1,540","1,468","1,306","1,768","1,838","1,513","1,231","1,212","1,056"
Tropicats,,,,,,,,,,,,,,,,,,,,4,6,8,15,9,6,8,6,408,307,300,320,344,387,462,503,487,604,538,573,540,513,605,629,620,601,590,590,558,601,643,577,601,621,565,463,406,365,334,300,271,257,236,201,188,169,149,134,130,124,116,100,81,71,62,57,49,40,33,26,22,19,16,14,11,42
Vegas Downtown Slots & Words,85,154,202,372,806,648,625,674,638,668,674,666,694,665,722,682,697,788,729,750,781,840,874,"1,138","1,008","1,030","1,059","1,149","1,251","1,316","1,277","1,326","1,308","1,310","1,325","1,387","1,371","1,378","1,312","1,291",934,949,867,814,746,696,641,598,568,526,474,446,398,380,339,337,270,257,231,215,190,164,145,126,108,98,86,73,66,60,53,51,47,45,43,42,41,42,41,41,37,36,34,33,32
World Series of Poker,"12,981","13,059","13,932","15,348","16,960","19,615","19,610","19,536","18,741","17,882","17,298","17,223","16,708","16,728","16,584","17,025","16,799","19,114","18,091","17,652","17,108","16,452","16,062","17,896","17,018","16,750","16,941","16,924","17,318","18,444","17,409","17,086","16,040","15,811","15,842","16,225","16,470","16,374","16,264","17,474","18,418","20,933","18,323","17,077","16,494","15,835","16,132","16,630","16,033","15,541","15,173","14,971","15,484","17,126","16,946","18,525","19,500","17,938","16,835","15,892","15,571","14,322","14,155","14,467","14,423","15,484","14,247","13,847","13,016","13,092","11,819","11,592","11,407","10,799","10,572","10,390","11,208","12,360","11,130","10,083","9,940","9,293","9,598","10,319","9,604"
